startDateTime,endDateTime,staPresMean,staPresMinimum,staPresMaximum,staPresVariance,staPresNumPts,staPresExpUncert,staPresStdErMean,staPresFinalQF,corPres,corPresExpUncert,corPresFinalQF
"2017-11-01T00:00:00Z","2017-11-01T00:30:00Z",,,,,,,,1,,,
"2017-11-01T00:30:00Z","2017-11-01T01:00:00Z",,,,,,,,1,,,
"2017-11-01T01:00:00Z","2017-11-01T01:30:00Z",,,,,,,,1,,,
"2017-11-01T01:30:00Z","2017-11-01T02:00:00Z",,,,,,,,1,,,
"2017-11-01T02:00:00Z","2017-11-01T02:30:00Z",,,,,,,,1,,,
"2017-11-01T02:30:00Z","2017-11-01T03:00:00Z",,,,,,,,1,,,
"2017-11-01T03:00:00Z","2017-11-01T03:30:00Z",,,,,,,,1,,,
"2017-11-01T03:30:00Z","2017-11-01T04:00:00Z",,,,,,,,1,,,
"2017-11-01T04:00:00Z","2017-11-01T04:30:00Z",,,,,,,,1,,,
"2017-11-01T04:30:00Z","2017-11-01T05:00:00Z",,,,,,,,1,,,
"2017-11-01T05:00:00Z","2017-11-01T05:30:00Z",,,,,,,,1,,,
"2017-11-01T05:30:00Z","2017-11-01T06:00:00Z",,,,,,,,1,,,
"2017-11-01T06:00:00Z","2017-11-01T06:30:00Z",,,,,,,,1,,,
"2017-11-01T06:30:00Z","2017-11-01T07:00:00Z",,,,,,,,1,,,
"2017-11-01T07:00:00Z","2017-11-01T07:30:00Z",,,,,,,,1,,,
"2017-11-01T07:30:00Z","2017-11-01T08:00:00Z",,,,,,,,1,,,
"2017-11-01T08:00:00Z","2017-11-01T08:30:00Z",,,,,,,,1,,,
"2017-11-01T08:30:00Z","2017-11-01T09:00:00Z",,,,,,,,1,,,
"2017-11-01T09:00:00Z","2017-11-01T09:30:00Z",,,,,,,,1,,,
"2017-11-01T09:30:00Z","2017-11-01T10:00:00Z",,,,,,,,1,,,
"2017-11-01T10:00:00Z","2017-11-01T10:30:00Z",,,,,,,,1,,,
"2017-11-01T10:30:00Z","2017-11-01T11:00:00Z",,,,,,,,1,,,
"2017-11-01T11:00:00Z","2017-11-01T11:30:00Z",,,,,,,,1,,,
"2017-11-01T11:30:00Z","2017-11-01T12:00:00Z",,,,,,,,1,,,
"2017-11-01T12:00:00Z","2017-11-01T12:30:00Z",,,,,,,,1,,,
"2017-11-01T12:30:00Z","2017-11-01T13:00:00Z",,,,,,,,1,,,
"2017-11-01T13:00:00Z","2017-11-01T13:30:00Z",,,,,,,,1,,,
"2017-11-01T13:30:00Z","2017-11-01T14:00:00Z",,,,,,,,1,,,
"2017-11-01T14:00:00Z","2017-11-01T14:30:00Z",,,,,,,,1,,,
"2017-11-01T14:30:00Z","2017-11-01T15:00:00Z",,,,,,,,1,,,
"2017-11-01T15:00:00Z","2017-11-01T15:30:00Z",,,,,,,,1,,,
"2017-11-01T15:30:00Z","2017-11-01T16:00:00Z",,,,,,,,1,,,
"2017-11-01T16:00:00Z","2017-11-01T16:30:00Z",,,,,,,,1,,,
"2017-11-01T16:30:00Z","2017-11-01T17:00:00Z",,,,,,,,1,,,
"2017-11-01T17:00:00Z","2017-11-01T17:30:00Z",,,,,,,,1,,,
"2017-11-01T17:30:00Z","2017-11-01T18:00:00Z",,,,,,,,1,,,
"2017-11-01T18:00:00Z","2017-11-01T18:30:00Z",,,,,,,,1,,,
"2017-11-01T18:30:00Z","2017-11-01T19:00:00Z",,,,,,,,1,,,
"2017-11-01T19:00:00Z","2017-11-01T19:30:00Z",,,,,,,,1,,,
"2017-11-01T19:30:00Z","2017-11-01T20:00:00Z",,,,,,,,1,,,
"2017-11-01T20:00:00Z","2017-11-01T20:30:00Z",,,,,,,,1,,,
"2017-11-01T20:30:00Z","2017-11-01T21:00:00Z",,,,,,,,1,,,
"2017-11-01T21:00:00Z","2017-11-01T21:30:00Z",,,,,,,,1,,,
"2017-11-01T21:30:00Z","2017-11-01T22:00:00Z",,,,,,,,1,,,
"2017-11-01T22:00:00Z","2017-11-01T22:30:00Z",,,,,,,,1,,,
"2017-11-01T22:30:00Z","2017-11-01T23:00:00Z",,,,,,,,1,,,
"2017-11-01T23:00:00Z","2017-11-01T23:30:00Z",,,,,,,,1,,,
"2017-11-01T23:30:00Z","2017-11-02T00:00:00Z",,,,,,,,1,,,
"2017-11-02T00:00:00Z","2017-11-02T00:30:00Z",,,,,,,,1,,,
"2017-11-02T00:30:00Z","2017-11-02T01:00:00Z",,,,,,,,1,,,
"2017-11-02T01:00:00Z","2017-11-02T01:30:00Z",,,,,,,,1,,,
"2017-11-02T01:30:00Z","2017-11-02T02:00:00Z",,,,,,,,1,,,
"2017-11-02T02:00:00Z","2017-11-02T02:30:00Z",,,,,,,,1,,,
"2017-11-02T02:30:00Z","2017-11-02T03:00:00Z",,,,,,,,1,,,
"2017-11-02T03:00:00Z","2017-11-02T03:30:00Z",,,,,,,,1,,,
"2017-11-02T03:30:00Z","2017-11-02T04:00:00Z",,,,,,,,1,,,
"2017-11-02T04:00:00Z","2017-11-02T04:30:00Z",,,,,,,,1,,,
"2017-11-02T04:30:00Z","2017-11-02T05:00:00Z",,,,,,,,1,,,
"2017-11-02T05:00:00Z","2017-11-02T05:30:00Z",,,,,,,,1,,,
"2017-11-02T05:30:00Z","2017-11-02T06:00:00Z",,,,,,,,1,,,
"2017-11-02T06:00:00Z","2017-11-02T06:30:00Z",,,,,,,,1,,,
"2017-11-02T06:30:00Z","2017-11-02T07:00:00Z",,,,,,,,1,,,
"2017-11-02T07:00:00Z","2017-11-02T07:30:00Z",,,,,,,,1,,,
"2017-11-02T07:30:00Z","2017-11-02T08:00:00Z",,,,,,,,1,,,
"2017-11-02T08:00:00Z","2017-11-02T08:30:00Z",,,,,,,,1,,,
"2017-11-02T08:30:00Z","2017-11-02T09:00:00Z",,,,,,,,1,,,
"2017-11-02T09:00:00Z","2017-11-02T09:30:00Z",,,,,,,,1,,,
"2017-11-02T09:30:00Z","2017-11-02T10:00:00Z",,,,,,,,1,,,
"2017-11-02T10:00:00Z","2017-11-02T10:30:00Z",,,,,,,,1,,,
"2017-11-02T10:30:00Z","2017-11-02T11:00:00Z",,,,,,,,1,,,
"2017-11-02T11:00:00Z","2017-11-02T11:30:00Z",,,,,,,,1,,,
"2017-11-02T11:30:00Z","2017-11-02T12:00:00Z",,,,,,,,1,,,
"2017-11-02T16:00:00Z","2017-11-02T16:30:00Z",,,,,,,,1,,,
"2017-11-02T16:30:00Z","2017-11-02T17:00:00Z",,,,,,,,1,,,
"2017-11-02T17:00:00Z","2017-11-02T17:30:00Z",,,,,,,,1,,,
"2017-11-02T17:30:00Z","2017-11-02T18:00:00Z",,,,,,,,1,,,
"2017-11-02T18:00:00Z","2017-11-02T18:30:00Z",,,,,,,,1,,,
"2017-11-02T18:30:00Z","2017-11-02T19:00:00Z",,,,,,,,1,,,
"2017-11-02T19:00:00Z","2017-11-02T19:30:00Z",,,,,,,,1,,,
"2017-11-02T19:30:00Z","2017-11-02T20:00:00Z",,,,,,,,1,,,
"2017-11-02T20:00:00Z","2017-11-02T20:30:00Z",,,,,,,,1,,,
"2017-11-02T20:30:00Z","2017-11-02T21:00:00Z",,,,,,,,1,,,
"2017-11-02T21:00:00Z","2017-11-02T21:30:00Z",,,,,,,,1,,,
"2017-11-02T21:30:00Z","2017-11-02T22:00:00Z",,,,,,,,1,,,
"2017-11-02T22:00:00Z","2017-11-02T22:30:00Z",,,,,,,,1,,,
"2017-11-02T22:30:00Z","2017-11-02T23:00:00Z",,,,,,,,1,,,
"2017-11-02T23:00:00Z","2017-11-02T23:30:00Z",,,,,,,,1,,,
"2017-11-02T23:30:00Z","2017-11-03T00:00:00Z",,,,,,,,1,,,
"2017-11-03T00:00:00Z","2017-11-03T00:30:00Z",,,,,,,,1,,,
"2017-11-03T00:30:00Z","2017-11-03T01:00:00Z",,,,,,,,1,,,
"2017-11-03T01:00:00Z","2017-11-03T01:30:00Z",,,,,,,,1,,,
"2017-11-03T01:30:00Z","2017-11-03T02:00:00Z",,,,,,,,1,,,
"2017-11-03T02:00:00Z","2017-11-03T02:30:00Z",,,,,,,,1,,,
"2017-11-03T02:30:00Z","2017-11-03T03:00:00Z",,,,,,,,1,,,
"2017-11-03T03:00:00Z","2017-11-03T03:30:00Z",,,,,,,,1,,,
"2017-11-03T03:30:00Z","2017-11-03T04:00:00Z",,,,,,,,1,,,
"2017-11-03T04:00:00Z","2017-11-03T04:30:00Z",,,,,,,,1,,,
"2017-11-03T04:30:00Z","2017-11-03T05:00:00Z",,,,,,,,1,,,
"2017-11-03T05:00:00Z","2017-11-03T05:30:00Z",,,,,,,,1,,,
"2017-11-03T05:30:00Z","2017-11-03T06:00:00Z",,,,,,,,1,,,
"2017-11-03T06:00:00Z","2017-11-03T06:30:00Z",,,,,,,,1,,,
"2017-11-03T06:30:00Z","2017-11-03T07:00:00Z",,,,,,,,1,,,
"2017-11-03T07:00:00Z","2017-11-03T07:30:00Z",,,,,,,,1,,,
"2017-11-03T07:30:00Z","2017-11-03T08:00:00Z",,,,,,,,1,,,
"2017-11-03T08:00:00Z","2017-11-03T08:30:00Z",,,,,,,,1,,,
"2017-11-03T08:30:00Z","2017-11-03T09:00:00Z",,,,,,,,1,,,
"2017-11-03T09:00:00Z","2017-11-03T09:30:00Z",,,,,,,,1,,,
"2017-11-03T09:30:00Z","2017-11-03T10:00:00Z",,,,,,,,1,,,
"2017-11-03T10:00:00Z","2017-11-03T10:30:00Z",,,,,,,,1,,,
"2017-11-03T10:30:00Z","2017-11-03T11:00:00Z",,,,,,,,1,,,
"2017-11-03T11:00:00Z","2017-11-03T11:30:00Z",,,,,,,,1,,,
"2017-11-03T11:30:00Z","2017-11-03T12:00:00Z",,,,,,,,1,,,
"2017-11-03T12:00:00Z","2017-11-03T12:30:00Z",,,,,,,,1,,,
"2017-11-03T12:30:00Z","2017-11-03T13:00:00Z",,,,,,,,1,,,
"2017-11-03T13:00:00Z","2017-11-03T13:30:00Z",,,,,,,,1,,,
"2017-11-03T13:30:00Z","2017-11-03T14:00:00Z",,,,,,,,1,,,
"2017-11-03T14:00:00Z","2017-11-03T14:30:00Z",,,,,,,,1,,,
"2017-11-03T14:30:00Z","2017-11-03T15:00:00Z",,,,,,,,1,,,
"2017-11-03T15:00:00Z","2017-11-03T15:30:00Z",,,,,,,,1,,,
"2017-11-03T15:30:00Z","2017-11-03T16:00:00Z",,,,,,,,1,,,
"2017-11-03T16:00:00Z","2017-11-03T16:30:00Z",,,,,,,,1,,,
"2017-11-03T16:30:00Z","2017-11-03T17:00:00Z",,,,,,,,1,,,
"2017-11-03T17:00:00Z","2017-11-03T17:30:00Z",,,,,,,,1,,,
"2017-11-03T17:30:00Z","2017-11-03T18:00:00Z",,,,,,,,1,,,
"2017-11-03T18:00:00Z","2017-11-03T18:30:00Z",,,,,,,,1,,,
"2017-11-03T18:30:00Z","2017-11-03T19:00:00Z",,,,,,,,1,,,
"2017-11-03T19:00:00Z","2017-11-03T19:30:00Z",,,,,,,,1,,,
"2017-11-03T19:30:00Z","2017-11-03T20:00:00Z",,,,,,,,1,,,
"2017-11-03T20:00:00Z","2017-11-03T20:30:00Z",,,,,,,,1,,,
"2017-11-03T20:30:00Z","2017-11-03T21:00:00Z",,,,,,,,1,,,
"2017-11-03T21:00:00Z","2017-11-03T21:30:00Z",,,,,,,,1,,,
"2017-11-03T21:30:00Z","2017-11-03T22:00:00Z",,,,,,,,1,,,
